,0
51,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y102_0_5952.jpg
54,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y102_0_616.jpg
57,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y102_0_6866.jpg
60,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y102_0_8273.jpg
63,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y103_0_2659.jpg
66,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y103_0_3047.jpg
69,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y103_0_3473.jpg
72,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y103_0_4223.jpg
75,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y103_0_4870.jpg
78,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y103_0_6859.jpg
81,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y103_0_8711.jpg
84,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y104_0_1465.jpg
87,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y104_0_3957.jpg
90,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y104_0_4099.jpg
93,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y104_0_4787.jpg
96,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y104_0_4923.jpg
99,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y104_0_6672.jpg
102,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y104_0_8522.jpg
105,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y105_0_1041.jpg
108,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y105_0_4376.jpg
111,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y105_0_4612.jpg
114,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y105_0_508.jpg
117,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y105_0_7085.jpg
120,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y105_0_7576.jpg
123,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y105_0_9236.jpg
126,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y106_0_2432.jpg
129,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y106_0_4503.jpg
132,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y106_0_5815.jpg
135,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y106_0_6771.jpg
138,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y106_0_8422.jpg
141,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y106_0_8790.jpg
144,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y106_0_9000.jpg
147,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y107_0_2513.jpg
150,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y107_0_5078.jpg
153,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y107_0_5489.jpg
156,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y107_0_5499.jpg
159,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y107_0_7712.jpg
162,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y107_0_9692.jpg
165,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y107_0_9758.jpg
168,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y108_0_1249.jpg
171,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y108_0_5588.jpg
174,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y108_0_6073.jpg
177,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y108_0_8620.jpg
180,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y108_0_8931.jpg
183,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y108_0_8963.jpg
186,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y108_0_9025.jpg
189,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y109_0_3468.jpg
192,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y109_0_3583.jpg
195,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y109_0_4184.jpg
198,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y109_0_5782.jpg
201,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y109_0_6135.jpg
204,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y109_0_8100.jpg
207,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y109_0_8166.jpg
210,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y10_0_1546.jpg
213,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y10_0_4621.jpg
216,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y10_0_5578.jpg
219,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y10_0_5995.jpg
222,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y10_0_8081.jpg
225,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y10_0_9572.jpg
228,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y10_0_9763.jpg
231,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y111_0_1602.jpg
234,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y111_0_1993.jpg
237,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y111_0_2917.jpg
240,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y111_0_3506.jpg
243,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y111_0_5337.jpg
246,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y111_0_5413.jpg
249,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y111_0_8916.jpg
252,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y112_0_1059.jpg
255,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y112_0_1394.jpg
258,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y112_0_2548.jpg
261,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y112_0_5097.jpg
264,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y112_0_6066.jpg
267,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y112_0_6728.jpg
270,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y112_0_8989.jpg
273,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y113_0_133.jpg
276,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y113_0_3795.jpg
279,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y113_0_50.jpg
282,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y113_0_5016.jpg
285,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y113_0_7217.jpg
288,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y113_0_8816.jpg
291,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y113_0_9120.jpg
294,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y114_0_4135.jpg
297,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y114_0_5250.jpg
300,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y114_0_5608.jpg
303,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y114_0_6371.jpg
306,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y114_0_7794.jpg
309,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y114_0_8009.jpg
312,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y114_0_9045.jpg
315,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y115_0_2052.jpg
318,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y115_0_2319.jpg
321,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y115_0_4699.jpg
324,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y115_0_6496.jpg
327,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y115_0_8063.jpg
330,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y115_0_9058.jpg
333,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y115_0_9877.jpg
336,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y116_0_1189.jpg
339,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y116_0_1235.jpg
342,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y116_0_1244.jpg
345,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y116_0_3321.jpg
348,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y116_0_4117.jpg
351,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y116_0_6520.jpg
354,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y116_0_9027.jpg
357,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y117_0_409.jpg
360,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y117_0_4151.jpg
363,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y117_0_6574.jpg
366,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y117_0_7756.jpg
369,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y117_0_8222.jpg
372,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y117_0_8357.jpg
375,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y117_0_9217.jpg
378,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y11_0_3642.jpg
381,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y11_0_4064.jpg
384,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y11_0_4722.jpg
387,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y11_0_7300.jpg
390,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y11_0_7489.jpg
393,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y11_0_873.jpg
396,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y11_0_9023.jpg
399,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y120_0_1311.jpg
402,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y120_0_1676.jpg
405,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y120_0_5950.jpg
408,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y120_0_6011.jpg
411,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y120_0_6235.jpg
414,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y120_0_7662.jpg
417,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y120_0_8964.jpg
420,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y12_0_3413.jpg
423,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y12_0_4318.jpg
426,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y12_0_5697.jpg
429,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y12_0_6162.jpg
432,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y12_0_7834.jpg
435,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y12_0_8608.jpg
438,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y12_0_9172.jpg
441,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y13_0_1050.jpg
444,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y13_0_1281.jpg
447,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y13_0_2232.jpg
450,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y13_0_3322.jpg
453,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y13_0_3793.jpg
456,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y13_0_5846.jpg
459,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y13_0_6346.jpg
462,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y146_0_1252.jpg
465,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y146_0_1422.jpg
468,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y146_0_3091.jpg
471,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y146_0_3721.jpg
474,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y146_0_4402.jpg
477,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y146_0_593.jpg
480,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y146_0_705.jpg
483,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y147_0_2748.jpg
486,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y147_0_3519.jpg
489,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y147_0_4787.jpg
492,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y147_0_4893.jpg
495,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y147_0_5388.jpg
498,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y147_0_7064.jpg
501,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y147_0_9344.jpg
504,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y148_0_2553.jpg
507,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y148_0_4513.jpg
510,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y148_0_4851.jpg
513,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y148_0_5366.jpg
516,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y148_0_5575.jpg
519,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y148_0_660.jpg
522,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y148_0_6660.jpg
525,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y14_0_2480.jpg
528,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y14_0_3245.jpg
531,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y14_0_4491.jpg
534,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y14_0_4681.jpg
537,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y14_0_5526.jpg
540,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y14_0_7270.jpg
543,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y14_0_9731.jpg
546,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y153_0_128.jpg
549,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y153_0_147.jpg
552,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y153_0_2185.jpg
555,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y153_0_3427.jpg
558,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y153_0_5358.jpg
561,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y153_0_8344.jpg
564,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y153_0_9455.jpg
567,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y154_0_1160.jpg
570,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y154_0_1224.jpg
573,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y154_0_1649.jpg
576,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y154_0_2045.jpg
579,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y154_0_2718.jpg
582,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y154_0_5037.jpg
585,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y154_0_5489.jpg
588,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y155_0_2160.jpg
591,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y155_0_3416.jpg
594,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y155_0_4208.jpg
597,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y155_0_4403.jpg
600,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y155_0_4463.jpg
603,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y155_0_4495.jpg
606,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y155_0_6282.jpg
609,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y156_0_1911.jpg
612,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y156_0_2097.jpg
615,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y156_0_3220.jpg
618,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y156_0_4445.jpg
621,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y156_0_7281.jpg
624,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y156_0_7530.jpg
627,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y156_0_8836.jpg
630,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y157_0_1686.jpg
633,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y157_0_254.jpg
636,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y157_0_51.jpg
639,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y157_0_6500.jpg
642,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y157_0_6610.jpg
645,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y157_0_753.jpg
648,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y157_0_8484.jpg
651,https://raw.githubusercontent.com/Moorehe2/Brain-Tumor-Detection/master/augmented%20data/yes/aug_Y158_0_1258.jpg
